sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,latch, again,We say 'latch' again,coda manner (fricatives vs affricates),l,ae,ch,coda,0,0,0,79,right,2.38743209839,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,sheep, again,We say 'sheep' again,onset manner (fricatives vs affricates),sh,iy,p,onset,0,1,1,37,right,2.13576698303,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,shoe, again,We say 'shoe' again,onset manner (fricatives vs affricates),sh,uw,#,onset,0,2,2,39,right,1.91611194611,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,gap, again,We say 'gap' again,onset voicing (stops),g,ae,p,onset,0,3,3,8,right,2.26753211021,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,tongue, again,We say 'tongue' again,coda nasality,t,ah,ng,coda,0,4,4,45,right,2.14741706848,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,bat, again,We say 'bat' again,coda voicing (stops),b,ae,t,coda,0,5,5,57,right,1.86906909943,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,base, again,We say 'base' again,"onset manner (stops vs. fric, voiced)",b,ey,s,onset,0,6,6,10,right,1.865650177,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,pile, again,We say 'pile' again,"onset manner (stops vs. fric, voiceless)",p,ay,l,onset,0,7,7,20,right,1.83461213112,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"survey (noun, SURvey)", again,"We say 'survey' again (noun, SURvey)",stress,disyllabic,disyllabic,disyllabic,stress,0,8,8,86,right,2.30231690407,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,match, again,We say 'match' again,onset nasality,m,ae,ch,onset,0,9,9,1,right,2.2021958828,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,robe, again,We say 'robe' again,coda nasality,r,ow,b,coda,0,10,10,48,right,1.78541302681,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,bet, again,We say 'bet' again,onset voicing (stops),b,eh,t,onset,0,11,11,4,right,1.91915988922,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,pet, again,We say 'pet' again,onset voicing (stops),p,eh,t,onset,0,12,12,5,right,1.91725802422,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,chew, again,We say 'chew' again,onset manner (fricatives vs affricates),ch,uw,#,onset,0,13,13,38,right,2.01650285721,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,wish, again,We say 'wish' again,coda manner (fricatives vs affricates),w,ih,sh,coda,0,14,14,80,right,1.71641588211,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"permit (verb, perMIT)", again,"We say 'permit' again (verb, perMIT)",stress,disyllabic,disyllabic,disyllabic,stress,0,15,15,85,right,2.84941387177,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,rip, again,We say 'rip' again,coda voicing (stops),r,ih,p,coda,0,16,16,61,right,1.83564996719,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
