sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,"permit (verb, perMIT)", again,"We say 'permit' again (verb, perMIT)",stress,disyllabic,disyllabic,disyllabic,stress,0,0,0,85,down,3.45302605629,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,leave, again,We say 'leave' again,coda voicing (fricatives),l,iy,v,coda,0,1,1,70,down,2.10471510887,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,roam, again,We say 'roam' again,coda nasality,r,ow,m,coda,0,2,2,49,down,1.75441884995,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"survey (noun, SURvey)", again,"We say 'survey' again (noun, SURvey)",stress,disyllabic,disyllabic,disyllabic,stress,0,3,3,86,down,2.33916401863,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,tick, again,We say 'tick' again,"onset manner (stops vs. fric, voiceless)",t,ih,k,onset,0,4,4,22,down,1.82046198845,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,tap, again,We say 'tap' again,"onset manner (stops vs. fric, voiceless)",t,ae,p,onset,0,5,5,24,down,1.93177008629,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,choke, again,We say 'choke' again,onset voicing (affricates),ch,ow,k,onset,0,6,6,34,down,1.83513784409,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,vote, again,We say 'vote' again,"onset manner (stops vs. fric, voiced)",v,ow,t,onset,0,7,7,13,down,1.70219612122,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,chip, again,We say 'chip' again,onset manner (fricatives vs affricates),ch,ih,p,onset,0,8,8,40,down,1.83548784256,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,lash, again,We say 'lash' again,coda manner (fricatives vs affricates),l,ae,sh,coda,0,9,9,78,down,1.70120096207,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,ship, again,We say 'ship' again,onset manner (fricatives vs affricates),sh,ih,p,onset,0,10,10,41,down,1.98586797714,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"insult (verb, inSULT)", again,"We say 'insult' again (verb, inSULT)",stress,disyllabic,disyllabic,disyllabic,stress,0,11,11,93,down,1.58586192131,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,ten, again,We say 'ten' again,onset voicing (stops),t,eh,n,onset,0,12,12,7,down,1.93650603294,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,cap, again,We say 'cap' again,onset voicing (stops); coda voicing (stops),k,ae,p,onset,0,13,13,9,down,2.09844613075,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,plod, again,We say 'plod' again,coda voicing (stops),pl,aa,d,coda,0,14,14,50,down,1.5691678524,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,zip, again,We say 'zip' again,"onset manner (stops vs. fric, voiced)",z,ih,p,onset,0,15,15,15,down,1.67004108429,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,zoo, again,We say 'zoo' again,"onset manner (stops vs. fric, voiced); onset voicing (fricatives)",z,uw,#,onset,0,16,16,17,down,1.66336393356,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"insult (noun, INsult)", again,"We say 'insult' again (noun, INsult)",stress,disyllabic,disyllabic,disyllabic,stress,0,17,17,92,down,2.10318994522,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,wash, again,We say 'wash' again,coda manner (fricatives vs affricates),w,aa,sh,coda,0,18,18,82,down,2.00268411636,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,plot, again,We say 'plot' again,coda voicing (stops),pl,aa,t,coda,0,19,19,51,down,1.88206195831,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,file, again,We say 'file' again,"onset manner (stops vs. fric, voiceless)",f,ay,l,onset,0,20,20,21,down,1.96416401863,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,pile, again,We say 'pile' again,"onset manner (stops vs. fric, voiceless)",p,ay,l,onset,0,21,21,20,down,1.56673598289,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,base, again,We say 'base' again,"onset manner (stops vs. fric, voiced)",b,ey,s,onset,0,22,22,10,down,1.76487016678,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,pick, again,We say 'pick' again,coda voicing (stops),p,ih,k,coda,0,23,23,63,down,1.68240213394,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"suspect (verb, susPECT)", again,"We say 'suspect' again (verb, susPECT)",stress,disyllabic,disyllabic,disyllabic,stress,0,24,24,91,down,1.88377594948,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,pet, again,We say 'pet' again,onset voicing (stops),p,eh,t,onset,0,25,25,5,down,2.18541479111,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,have, again,We say 'have' again,coda voicing (fricatives),h,ae,v,coda,0,26,26,68,down,1.64847803116,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,cheap, again,We say 'cheap' again,onset manner (fricatives vs affricates),ch,iy,p,onset,0,27,27,36,down,1.67879104614,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,wish, again,We say 'wish' again,coda manner (fricatives vs affricates),w,ih,sh,coda,0,28,28,80,down,1.8026599884,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,dip, again,We say 'dip' again,"onset manner (stops vs. fric, voiced)",d,ih,p,onset,0,29,29,14,down,1.56248903275,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,fan, again,We say 'fan' again,onset voicing (fricatives),f,ae,n,onset,0,30,30,27,down,1.93105101585,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,mop, again,We say 'mop' again,coda voicing (stops),m,aa,p,coda,0,31,31,53,down,1.75098514557,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,chest, again,We say 'chest' again,onset voicing (affricates),ch,eh,st,onset,0,32,32,30,down,1.75312495232,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,boat, again,We say 'boat' again,"onset manner (stops vs. fric, voiced)",b,ow,t,onset,0,33,33,12,down,1.85056686401,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bean, again,We say 'bean' again,coda nasality,b,iy,n,coda,0,34,34,43,down,1.79784917831,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
