sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,fade, again,We say 'fade' again,"onset manner (stops vs. fric, voiceless)",f,ey,d,onset,0,0,0,19,right,2.40457296371,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,match, again,We say 'match' again,onset nasality,m,ae,ch,onset,0,1,1,1,right,1.90265703201,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,pet, again,We say 'pet' again,onset voicing (stops),p,eh,t,onset,0,2,2,5,right,1.98630690575,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,witch, again,We say 'witch' again,coda manner (fricatives vs affricates),w,ih,ch,coda,0,3,3,81,right,1.78667902946,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,do, again,We say 'do' again,"onset manner (stops vs. fric, voiced)",d,uw,#,onset,0,4,4,16,right,2.1004691124,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,chest, again,We say 'chest' again,onset voicing (affricates),ch,eh,st,onset,0,5,5,30,right,1.88585615158,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,batch, again,We say 'batch' again,onset nasality,b,ae,ch,onset,0,6,6,0,right,2.08802008629,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,badge, again,We say 'badge' again,coda voicing (affricates),b,ae,jh,coda,0,7,7,76,right,2.13816285133,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,mace, again,We say 'mace' again,coda voicing (fricatives),m,ey,s,coda,0,8,8,67,right,1.9219558239,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,tap, again,We say 'tap' again,"onset manner (stops vs. fric, voiceless)",t,ae,p,onset,0,9,9,24,right,2.16423583031,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,rim, again,We say 'rim' again,coda nasality,r,ih,m,coda,0,10,10,47,right,1.90401697159,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,leave, again,We say 'leave' again,coda voicing (fricatives),l,iy,v,coda,0,11,11,70,right,1.93294000626,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,file, again,We say 'file' again,"onset manner (stops vs. fric, voiceless)",f,ay,l,onset,0,12,12,21,right,2.03501105309,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,chug, again,We say 'chug' again,onset voicing (affricates),ch,ah,g,onset,0,13,13,32,right,2.01401185989,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,chew, again,We say 'chew' again,onset manner (fricatives vs affricates),ch,uw,#,onset,0,14,14,38,right,1.8388838768,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bead, again,We say 'bead' again,coda nasality,b,iy,d,coda,0,15,15,42,right,2.06418514252,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,boat, again,We say 'boat' again,"onset manner (stops vs. fric, voiced)",b,ow,t,onset,0,16,16,12,right,2.06749296188,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,zip, again,We say 'zip' again,"onset manner (stops vs. fric, voiced)",z,ih,p,onset,0,17,17,15,right,1.88666796684,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,sick, again,We say 'sick' again,"onset manner (stops vs. fric, voiceless)",s,ih,k,onset,0,18,18,23,right,2.22086691856,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,wish, again,We say 'wish' again,coda manner (fricatives vs affricates),w,ih,sh,coda,0,19,19,80,right,2.27188515663,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,tick, again,We say 'tick' again,"onset manner (stops vs. fric, voiceless)",t,ih,k,onset,0,20,20,22,right,2.05406689644,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bet, again,We say 'bet' again,onset voicing (stops),b,eh,t,onset,0,21,21,4,right,2.42919707298,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,ship, again,We say 'ship' again,onset manner (fricatives vs affricates),sh,ih,p,onset,0,22,22,41,right,1.58691883087,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,mop, again,We say 'mop' again,coda voicing (stops),m,aa,p,coda,0,23,23,53,right,2.20242595673,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bat, again,We say 'bat' again,coda voicing (stops),b,ae,t,coda,0,24,24,57,right,1.97389793396,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,sheep, again,We say 'sheep' again,onset manner (fricatives vs affricates),sh,iy,p,onset,0,25,25,37,right,2.08892583847,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,leaf, again,We say 'leaf' again,coda voicing (fricatives),l,iy,f,coda,0,26,26,71,right,2.2377140522,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,neck, again,We say 'neck' again,onset nasality,n,eh,k,onset,0,27,27,3,right,1.7347240448,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bean, again,We say 'bean' again,coda nasality,b,iy,n,coda,0,28,28,43,right,2.07105588913,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,rip, again,We say 'rip' again,coda voicing (stops),r,ih,p,coda,0,29,29,61,right,2.00190997124,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,fuss, again,We say 'fuss' again,coda voicing (fricatives),f,ah,s,coda,0,30,30,65,right,2.25896692276,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,tug, again,We say 'tug' again,coda nasality,t,ah,g,coda,0,31,31,44,right,1.69006109238,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"torment (verb, torMENT)", again,"We say 'torment' again (verb, torMENT)",stress,disyllabic,disyllabic,disyllabic,stress,0,32,32,89,right,2.88656592369,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,vase, again,We say 'vase' again,"onset manner (stops vs. fric, voiced)",v,ey,s,onset,0,33,33,11,right,1.90307784081,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,roam, again,We say 'roam' again,coda nasality,r,ow,m,coda,0,34,34,49,right,2.021474123,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,pile, again,We say 'pile' again,"onset manner (stops vs. fric, voiceless)",p,ay,l,onset,0,35,35,20,right,2.02135801315,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,ten, again,We say 'ten' again,onset voicing (stops),t,eh,n,onset,0,36,36,7,right,2.30274415016,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,den, again,We say 'den' again,onset voicing (stops),d,eh,n,onset,0,37,37,6,right,2.00142502785,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,rich, again,We say 'rich' again,coda voicing (affricates),r,ih,ch,coda,0,38,38,73,right,2.39151096344,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,tongue, again,We say 'tongue' again,coda nasality,t,ah,ng,coda,0,39,39,45,right,1.98793292046,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"permit (noun, PERmit)", again,"We say 'permit' again (noun, PERmit)",stress,disyllabic,disyllabic,disyllabic,stress,0,40,40,84,right,4.69062304497,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,ridge, again,We say 'ridge' again,coda voicing (affricates),r,ih,jh,coda,0,41,41,72,right,2.08610105515,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bit, again,We say 'bit' again,coda voicing (stops),b,ih,t,coda,0,42,42,60,right,2.24930691719,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"torment (noun, TORment)", again,"We say 'torment' again (noun, TORment)",stress,disyllabic,disyllabic,disyllabic,stress,0,43,43,88,right,2.22095584869,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,gap, again,We say 'gap' again,onset voicing (stops),g,ae,p,onset,0,44,44,8,right,2.31955599785,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,cap, again,We say 'cap' again,onset voicing (stops); coda voicing (stops),k,ae,p,onset,0,45,45,9,right,2.10304903984,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,joke, again,We say 'joke' again,onset voicing (affricates),jh,ow,k,onset,0,46,46,35,right,1.83548283577,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"insult (noun, INsult)", again,"We say 'insult' again (noun, INsult)",stress,disyllabic,disyllabic,disyllabic,stress,0,47,47,92,right,2.40260100365,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"survey (noun, SURvey)", again,"We say 'survey' again (noun, SURvey)",stress,disyllabic,disyllabic,disyllabic,stress,0,48,48,86,right,2.1742708683,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,deck, again,We say 'deck' again,onset nasality,d,eh,k,onset,0,49,49,2,right,2.62309503555,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,mob, again,We say 'mob' again,coda voicing (stops),m,aa,b,coda,0,50,50,52,right,2.28843593597,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,base, again,We say 'base' again,"onset manner (stops vs. fric, voiced)",b,ey,s,onset,0,51,51,10,right,2.23686313629,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,dip, again,We say 'dip' again,"onset manner (stops vs. fric, voiced)",d,ih,p,onset,0,52,52,14,right,6.12156796455,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,plod, again,We say 'plod' again,coda voicing (stops),pl,aa,d,coda,0,53,53,50,right,2.03148984909,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,have, again,We say 'have' again,coda voicing (fricatives),h,ae,v,coda,0,54,54,68,right,12.5924589634,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,jug, again,We say 'jug' again,onset voicing (affricates),jh,ah,g,onset,0,55,55,33,right,2.18247890472,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,vote, again,We say 'vote' again,"onset manner (stops vs. fric, voiced)",v,ow,t,onset,0,56,56,13,right,2.02321982384,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,cheap, again,We say 'cheap' again,onset manner (fricatives vs affricates),ch,iy,p,onset,0,57,57,36,right,11.6068398952,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,sap, again,We say 'sap' again,"onset manner (stops vs. fric, voiceless); onset voicing (fricatives)",s,ae,p,onset,0,58,58,25,right,2.1832690239,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,pick, again,We say 'pick' again,coda voicing (stops),p,ih,k,coda,0,59,59,63,right,2.00141882896,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,zoo, again,We say 'zoo' again,"onset manner (stops vs. fric, voiced); onset voicing (fricatives)",z,uw,#,onset,0,60,60,17,right,1.91950798035,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"suspect (verb, susPECT)", again,"We say 'suspect' again (verb, susPECT)",stress,disyllabic,disyllabic,disyllabic,stress,0,61,61,91,right,64.172465086,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,bad, again,We say 'bad' again,coda voicing (stops),b,ae,d,coda,0,62,62,56,right,1.6877322197,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,"permit (verb, perMIT)", again,"We say 'permit' again (verb, perMIT)",stress,disyllabic,disyllabic,disyllabic,stress,0,63,63,85,right,2.33642816544,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,chip, again,We say 'chip' again,onset manner (fricatives vs affricates),ch,ih,p,onset,0,64,64,40,right,1.93113803864,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
We say ,fan, again,We say 'fan' again,onset voicing (fricatives),f,ae,n,onset,0,65,65,27,right,1.95189285278,2020_Oct_09_1158,59.88953936659337,RecordingExp,001,NW,
